feature_variant,split,target_space,bucket,n_pairs,MSE,Pearson_R,Stratum_Adjusted_R
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_oe,100-199,24815400,4.755614815127464,0.24701640441292325,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_oe,200+,31966200,3.28756111223014,0.20242270786855182,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_resid,overall,88323000,4.78637243306518,0.3971166357172885,0.2775059595727294
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_resid,1-4,1408920,1.2779589933486024,0.33421080290422733,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_resid,5-9,1745220,2.965025872145361,0.36757063519183303,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_resid,10-19,3437340,5.942936803781265,0.380517571549355,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_resid,20-49,9887220,7.594417739541952,0.4893296913172727,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_resid,50-99,15062700,6.4498871199951475,0.29941311652549185,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_resid,100-199,24815400,4.755614814931124,0.24701640441492737,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_resid,200+,31966200,3.287561111782632,0.20242270787078165,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_oe,overall,88323000,0.777855605260789,0.7966592478855633,0.5671893882408002
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_oe,1-4,1408920,0.2656819661468425,0.5795988192390686,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_oe,5-9,1745220,0.5318052678548003,0.6594005035625249,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_oe,10-19,3437340,1.0275257638886606,0.6961547747949025,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_oe,20-49,9887220,1.2735334235069522,0.6811343745379956,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_oe,50-99,15062700,1.047550837374987,0.6011078764802297,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_oe,100-199,24815400,0.7587991149509183,0.5255715099975704,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_oe,200+,31966200,0.521412951744246,0.4505267439303989,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_resid,overall,88323000,0.7778556051446878,0.7259134465496939,0.5671893882428782
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_resid,1-4,1408920,0.2656819633327594,0.5973649928176908,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_resid,5-9,1745220,0.5318052597381374,0.6552457347652169,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_resid,10-19,3437340,1.02752577541695,0.6819956495792202,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_resid,20-49,9887220,1.2735334197994896,0.8029303153538024,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_resid,50-99,15062700,1.0475508374959293,0.6011078764578018,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_resid,100-199,24815400,0.7587991149954213,0.5255715099872674,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,smoothed_resid,200+,31966200,0.5214129518061688,0.4505267439108387,
