diag_idx,target_space,n_pairs,mean_error_smoothed_oe,smoothed_correction
126,smoothed_oe,308550,0.11860128492116928,0.11726000905036926
127,smoothed_oe,307725,0.11419893801212311,0.11547648906707764
128,smoothed_oe,306900,0.11043685674667358,0.11403287202119827
129,smoothed_oe,306075,0.11129353195428848,0.11323563009500504
130,smoothed_oe,305250,0.11326968669891357,0.11303611844778061
131,smoothed_oe,304425,0.11304324120283127,0.11310385912656784
132,smoothed_oe,303600,0.11525358259677887,0.11305025219917297
133,smoothed_oe,302775,0.11376953125,0.11261658370494843
134,smoothed_oe,301950,0.1114882379770279,0.11172971874475479
135,smoothed_oe,301125,0.1121336817741394,0.11046318709850311
136,smoothed_oe,300300,0.10940125584602356,0.10897810012102127
137,smoothed_oe,299475,0.1056436076760292,0.107428178191185
138,smoothed_oe,298650,0.10475234687328339,0.10578876733779907
139,smoothed_oe,297825,0.10625334829092026,0.10374294221401215
140,smoothed_oe,297000,0.10682620853185654,0.10085012763738632
141,smoothed_oe,296175,0.09943724423646927,0.096936896443367
142,smoothed_oe,295350,0.09056530892848969,0.0923069640994072
143,smoothed_oe,294525,0.08465850353240967,0.08750368654727936
144,smoothed_oe,293700,0.08332699537277222,0.08284808695316315
145,smoothed_oe,292875,0.07803240418434143,0.07816966623067856
146,smoothed_oe,292050,0.07520097494125366,0.07292724400758743
147,smoothed_oe,291225,0.07404201477766037,0.06666260212659836
148,smoothed_oe,290400,0.06344011425971985,0.0595223605632782
149,smoothed_oe,289575,0.042559318244457245,0.052379634231328964
150,smoothed_oe,288750,0.04111001640558243,0.046305034309625626
151,smoothed_oe,287925,0.038783155381679535,0.0418340265750885
152,smoothed_oe,287100,0.03867331147193909,0.03874026611447334
153,smoothed_oe,286275,0.037220414727926254,0.036418065428733826
154,smoothed_oe,285450,0.03400568664073944,0.03437566012144089
155,smoothed_oe,284625,0.032622985541820526,0.03243642672896385
156,smoothed_oe,283800,0.029902100563049316,0.03065372444689274
157,smoothed_oe,282975,0.02737828716635704,0.029119808226823807
158,smoothed_oe,282150,0.027387235313653946,0.027814311906695366
159,smoothed_oe,281325,0.028082698583602905,0.026587797328829765
160,smoothed_oe,280500,0.026332303881645203,0.025285717099905014
161,smoothed_oe,279675,0.023061959072947502,0.023876197636127472
162,smoothed_oe,278850,0.02185784839093685,0.022448239848017693
163,smoothed_oe,278025,0.021230502054095268,0.021121447905898094
164,smoothed_oe,277200,0.019592855125665665,0.020007530227303505
165,smoothed_oe,276375,0.01840677298605442,0.01924699917435646
166,smoothed_oe,275550,0.016893763095140457,0.019013967365026474
167,smoothed_oe,274725,0.017216961830854416,0.019427767023444176
168,smoothed_oe,273900,0.01976362057030201,0.020446235314011574
169,smoothed_oe,273075,0.022138498723506927,0.021853720769286156
170,smoothed_oe,272250,0.02373807691037655,0.023356745019555092
171,smoothed_oe,271425,0.025581441819667816,0.0247054323554039
172,smoothed_oe,270600,0.02683219686150551,0.025778397917747498
173,smoothed_oe,269775,0.027340924367308617,0.02662278339266777
174,smoothed_oe,268950,0.026392070576548576,0.027428727596998215
175,smoothed_oe,268125,0.026693686842918396,0.02840564213693142
176,smoothed_oe,267300,0.028842229396104813,0.029613995924592018
177,smoothed_oe,266475,0.032000280916690826,0.030901724472641945
178,smoothed_oe,265650,0.03392113372683525,0.03203192353248596
179,smoothed_oe,264825,0.033625278621912,0.03289789706468582
180,smoothed_oe,264000,0.032896559685468674,0.033619772642850876
181,smoothed_oe,263175,0.03277777507901192,0.03442972153425217
182,smoothed_oe,262350,0.03471202030777931,0.03545632213354111
183,smoothed_oe,261525,0.03692277520895004,0.03660567104816437
184,smoothed_oe,260700,0.03921637311577797,0.037643078714609146
185,smoothed_oe,259875,0.040379781275987625,0.038402654230594635
186,smoothed_oe,259050,0.038263626396656036,0.03893251717090607
187,smoothed_oe,258225,0.037593621760606766,0.03943537175655365
188,smoothed_oe,257400,0.03977597877383232,0.04007153585553169
189,smoothed_oe,256575,0.04154318571090698,0.04083380475640297
190,smoothed_oe,255750,0.041923508048057556,0.041591934859752655
191,smoothed_oe,254925,0.042339254170656204,0.04220254346728325
